mturk_id,tweet_id,tweet,text,answer,id
000189230f6a4376b3618b80d56d4cd4,991075844192948000,Incel Hunger Games for our amusement.,Please briefly explain why you believe the intent of this tweet is or is not malicious.,"making fun of a group of people, so it is malicious",rhetoric-freetext
000189230f6a4376b3618b80d56d4cd4,991064836661481000,"To some men, look, sometimes you are an incel and you desire a figment of your imagination that will never exist on a video game.   Some of us call it “dry season”.   Let’s just say, it tastes better when you wait...",Please briefly explain why you believe the intent of this tweet is or is not malicious.,"making fun of a group of people, so it is malicious",rhetoric-freetext
000189230f6a4376b3618b80d56d4cd4,989137202230759000,'Incel' sexual frustration 'rebellion' at center of Toronto attack  https://fxn.ws/2qXxiDm  #FoxNews,Please briefly explain why you believe the intent of this tweet is or is not malicious.,"making fun of a group of people, so it is malicious",rhetoric-freetext
000189230f6a4376b3618b80d56d4cd4,991073896077111000,Multi millionaire incel? 🤔,Please briefly explain why you believe the intent of this tweet is or is not malicious.,"making fun of a group of people, so it is malicious",rhetoric-freetext
000189230f6a4376b3618b80d56d4cd4,991064933449195000,Healing the helpers in the wake of tragedy via @TorontoStar  https://www.thestar.com/opinion/contributors/2018/04/30/healing-the-helpers-in-the-wake-of-tragedy.html … #mentalhealth #TorontoStrong,Please briefly explain why you believe the intent of this tweet is or is not malicious.,"making fun of a group of people, so it is malicious",rhetoric-freetext
000189230f6a4376b3618b80d56d4cd4,991097775621275000,"It's surely worse for incels, because their porn experiences are filtered through a cloud of self-loathing: ""Something so wonderful will never happen to me!"" I assume all participants in these incel forums are heavy porn users.",Please briefly explain why you believe the intent of this tweet is or is not malicious.,"making fun of a group of people, so it is malicious",rhetoric-freetext
000189230f6a4376b3618b80d56d4cd4,991066806239424000,Weird how misogynistic incel creeps become #woke with a little eyeliner and a change in pronouns,Please briefly explain why you believe the intent of this tweet is or is not malicious.,"making fun of a group of people, so it is malicious",rhetoric-freetext
000189230f6a4376b3618b80d56d4cd4,991102724136726000,"Whoa, these ""incel"" communities are just nutso  https://talkingpointsmemo.com/edblog/meet-robin-hanson-opponent-of-sex-inequality …",Please briefly explain why you believe the intent of this tweet is or is not malicious.,"making fun of a group of people, so it is malicious",rhetoric-freetext
000189230f6a4376b3618b80d56d4cd4,988889404742742000,Our thoughts are with all of those impacted by the tragic incident on Yonge St. yesterday.  Our hearts are broken.  #TorontoStrong,Please briefly explain why you believe the intent of this tweet is or is not malicious.,"making fun of a group of people, so it is malicious",rhetoric-freetext
000189230f6a4376b3618b80d56d4cd4,991072245169598000,Form a cogent counterpoint about why you disagree with the OP post regarding Dolores from Westworld and delete your misogynistic incel rant. That’s all you need to do buddy. Women have ideas and thoughts. They don’t need us policing them.,Please briefly explain why you believe the intent of this tweet is or is not malicious.,"making fun of a group of people, so it is malicious",rhetoric-freetext
00139d2ada6146b7b7242de669b35fb0,991074669712347000,Incel just means pre-rapist,Please briefly explain why you believe the intent of this tweet is or is not malicious.,It wants to initiate a discussion that is not related to the tragedy,rhetoric-freetext
00139d2ada6146b7b7242de669b35fb0,991083967519440000,Incel fury. Ignore it.,Please briefly explain why you believe the intent of this tweet is or is not malicious.,Not malicious but kind of irrelevant,rhetoric-freetext
